name	CAZy	n
Aspfu1	GH 71	8
Aspfu1	GH 72	7
Aspfu1	GH 74	2
Aspfu1	GH 75	4
Aspfu1	GH 76	7
Aspfu1	GH 78	5
Aspfu1	GH 81	1
Aspfu1	GH 88	2
Aspfu1	GH 89	1
Aspfu1	GH 92	5
Aspfu1	GH 93	3
Aspfu1	GH 95	2
Aspfu1	GT 1	9
Aspfu1	GT 15	3
Aspfu1	GT 2	14
Aspfu1	GT 2 	2
Aspfu1	GT 20	7
Aspfu1	GT 21	1
Aspfu1	GT 22	4
Aspfu1	GT 24	1
Aspfu1	GT 25	2
Aspfu1	GT 3	1
Aspfu1	GT 31	8
Aspfu1	GT 32	6
Aspfu1	GT 33	1
Aspfu1	GT 34	3
Aspfu1	GT 35	1
Aspfu1	GT 39	3
Aspfu1	GT 4	9
Aspfu1	GT 41	1
Aspfu1	GT 48	1
Aspfu1	GT 5	3
Aspfu1	GT 50	1
Aspfu1	GT 57	2
Aspfu1	GT 58	1
Aspfu1	GT 59	1
Aspfu1	GT 61	1
Aspfu1	GT 62	3
Aspfu1	GT 66	1
Aspfu1	GT 69	3
Aspfu1	GT 71	3
Aspfu1	GT 76	2
Aspfu1	GT 8	4
Aspfu1	GT 90	5
Aspfu1	GT 91	2
Aspfu1	PL 1	6
Aspfu1	PL 20	1
Aspfu1	PL 26	1
Aspfu1	PL 3	3
Aspfu1	PL 38	1
Aspfu1	PL 4	3
Aspfu1	PL 9	1
Aspni_NRRL3_1	AA 1	14
Aspni_NRRL3_1	AA 11	2
Aspni_NRRL3_1	AA 16	1
Aspni_NRRL3_1	AA 2	2
Aspni_NRRL3_1	AA 3	32
Aspni_NRRL3_1	AA 4	1
Aspni_NRRL3_1	AA 6	1
Aspni_NRRL3_1	AA 7	2
Aspni_NRRL3_1	AA 8	1
Aspni_NRRL3_1	AA 9	4
Aspni_NRRL3_1	AA 9 	3
Aspni_NRRL3_1	CBM 1	3
Aspni_NRRL3_1	CBM 1 	5
Aspni_NRRL3_1	CBM 13 	1
Aspni_NRRL3_1	CBM 14	1
Aspni_NRRL3_1	CBM 18 	15
Aspni_NRRL3_1	CBM 20 	2
Aspni_NRRL3_1	CBM 21	1
Aspni_NRRL3_1	CBM 24 	7
Aspni_NRRL3_1	CBM 35 	2
Aspni_NRRL3_1	CBM 42 	1
Aspni_NRRL3_1	CBM 43 	5
Aspni_NRRL3_1	CBM 48	2
Aspni_NRRL3_1	CBM 48 	1
Aspni_NRRL3_1	CBM 50	6
Aspni_NRRL3_1	CBM 50 	19
Aspni_NRRL3_1	CBM 63 	1
Aspni_NRRL3_1	CBM 87 	1
Aspni_NRRL3_1	CBM 91 	3
Aspni_NRRL3_1	CE 1	1
Aspni_NRRL3_1	CE 12	2
Aspni_NRRL3_1	CE 16	3
Aspni_NRRL3_1	CE 18	1
Aspni_NRRL3_1	CE 4	4
Aspni_NRRL3_1	CE 5	5
Aspni_NRRL3_1	CE 8	3
Aspni_NRRL3_1	CE 9	1
Aspni_NRRL3_1	Expansins	3
Aspni_NRRL3_1	GH 1	3
Aspni_NRRL3_1	GH 10	2
Aspni_NRRL3_1	GH 105	2
Aspni_NRRL3_1	GH 11	3
Aspni_NRRL3_1	GH 114	2
Aspni_NRRL3_1	GH 12	4
Aspni_NRRL3_1	GH 125	1
Aspni_NRRL3_1	GH 128	2
Aspni_NRRL3_1	GH 13	16
Aspni_NRRL3_1	GH 131	1
Aspni_NRRL3_1	GH 132	2
Aspni_NRRL3_1	GH 133 	1
Aspni_NRRL3_1	GH 135	4
Aspni_NRRL3_1	GH 139	1
Aspni_NRRL3_1	GH 142	1
Aspni_NRRL3_1	GH 15	2
Aspni_NRRL3_1	GH 16	13
Aspni_NRRL3_1	GH 17	5
Aspni_NRRL3_1	GH 171	1
Aspni_NRRL3_1	GH 172	1
Aspni_NRRL3_1	GH 18	16
Aspni_NRRL3_1	GH 2	6
Aspni_NRRL3_1	GH 20	3
Aspni_NRRL3_1	GH 26	1
Aspni_NRRL3_1	GH 27	5
Aspni_NRRL3_1	GH 28	21
Aspni_NRRL3_1	GH 29	1
Aspni_NRRL3_1	GH 3	19
Aspni_NRRL3_1	GH 30	1
Aspni_NRRL3_1	GH 31	7
Aspni_NRRL3_1	GH 32	5
Aspni_NRRL3_1	GH 33	1
Aspni_NRRL3_1	GH 35	5
Aspni_NRRL3_1	GH 36	2
Aspni_NRRL3_1	GH 37	1
Aspni_NRRL3_1	GH 38	1
Aspni_NRRL3_1	GH 43	11
Aspni_NRRL3_1	GH 47	6
Aspni_NRRL3_1	GH 5	10
Aspni_NRRL3_1	GH 51	4
Aspni_NRRL3_1	GH 53	1
Aspni_NRRL3_1	GH 54	1
Aspni_NRRL3_1	GH 55	3
Aspni_NRRL3_1	GH 6	2
Aspni_NRRL3_1	GH 62	1
Aspni_NRRL3_1	GH 63	1
Aspni_NRRL3_1	GH 65	1
Aspni_NRRL3_1	GH 67	1
Aspni_NRRL3_1	GH 7	2
Aspni_NRRL3_1	GH 71	7
Aspni_NRRL3_1	GH 72	8
Aspni_NRRL3_1	GH 74	1
Aspni_NRRL3_1	GH 75	2
Aspni_NRRL3_1	GH 76	10
Aspni_NRRL3_1	GH 78	8
Aspni_NRRL3_1	GH 79	3
Aspni_NRRL3_1	GH 81	1
Aspni_NRRL3_1	GH 88	1
Aspni_NRRL3_1	GH 92	5
Aspni_NRRL3_1	GH 93	1
Aspni_NRRL3_1	GH 95	2
Aspni_NRRL3_1	GT 1	12
Aspni_NRRL3_1	GT 15	3
Aspni_NRRL3_1	GT 2	16
Aspni_NRRL3_1	GT 2 	2
Aspni_NRRL3_1	GT 20	6
Aspni_NRRL3_1	GT 21	1
Aspni_NRRL3_1	GT 22	4
Aspni_NRRL3_1	GT 24	1
Aspni_NRRL3_1	GT 25	4
Aspni_NRRL3_1	GT 3	1
Aspni_NRRL3_1	GT 31	6
Aspni_NRRL3_1	GT 32	11
Aspni_NRRL3_1	GT 33	1
Aspni_NRRL3_1	GT 34	4
Aspni_NRRL3_1	GT 35	1
Aspni_NRRL3_1	GT 39	3
Aspni_NRRL3_1	GT 4	8
Aspni_NRRL3_1	GT 41	1
Aspni_NRRL3_1	GT 48	1
Aspni_NRRL3_1	GT 5	5
Aspni_NRRL3_1	GT 50	1
Aspni_NRRL3_1	GT 57	2
Aspni_NRRL3_1	GT 58	1
Aspni_NRRL3_1	GT 59	1
Aspni_NRRL3_1	GT 62	3
Aspni_NRRL3_1	GT 66	1
Aspni_NRRL3_1	GT 69	6
Aspni_NRRL3_1	GT 71	4
Aspni_NRRL3_1	GT 76	2
Aspni_NRRL3_1	GT 8	4
Aspni_NRRL3_1	GT 90	3
Aspni_NRRL3_1	PL 1	7
Aspni_NRRL3_1	PL 27	1
Aspni_NRRL3_1	PL 4	2
Aspni_NRRL3_1	PL 42	1
Aspnid1	AA 1	8
Aspnid1	AA 11	2
Aspnid1	AA 13	1
Aspnid1	AA 13 	1
Aspnid1	AA 16	1
Aspnid1	AA 2	2
Aspnid1	AA 3	26
Aspnid1	AA 4	2
Aspnid1	AA 6	1
Aspnid1	AA 7	1
Aspnid1	AA 8	2
Aspnid1	AA 9	8
Aspnid1	AA 9 	2
Aspnid1	CBM 1	2
Aspnid1	CBM 1 	5
Aspnid1	CBM 14	1
Aspnid1	CBM 18	1
Aspnid1	CBM 18 	17
Aspnid1	CBM 20	1
Aspnid1	CBM 20 	3
Aspnid1	CBM 21	1
Aspnid1	CBM 24 	2
Aspnid1	CBM 32 	1
Aspnid1	CBM 35 	3
Aspnid1	CBM 42 	1
Aspnid1	CBM 43 	3
Aspnid1	CBM 48	2
Aspnid1	CBM 48 	1
Aspnid1	CBM 50	13
Aspnid1	CBM 50 	28
Aspnid1	CBM 6 	1
Aspnid1	CBM 63 	1
Aspnid1	CBM 67 	2
Aspnid1	CBM 87 	1
Aspnid1	CBM 91 	4
Aspnid1	CE 1	2
Aspnid1	CE 12	2
Aspnid1	CE 16	3
Aspnid1	CE 18	1
Aspnid1	CE 4	6
Aspnid1	CE 5	4
Aspnid1	CE 8	2
Aspnid1	CE 8 	1
Aspnid1	CE 9	1
Aspnid1	Expansins	2
Aspnid1	GH 1	4
Aspnid1	GH 10	3
Aspnid1	GH 105	4
Aspnid1	GH 11	2
Aspnid1	GH 114	2
Aspnid1	GH 115	1
Aspnid1	GH 12	1
Aspnid1	GH 125	1
Aspnid1	GH 127	1
Aspnid1	GH 128	2
Aspnid1	GH 13	13
Aspnid1	GH 131	1
Aspnid1	GH 132	2
Aspnid1	GH 133 	1
Aspnid1	GH 134	4
Aspnid1	GH 135	3
Aspnid1	GH 142	1
Aspnid1	GH 15	2
Aspnid1	GH 154	4
Aspnid1	GH 16	14
Aspnid1	GH 17	5
Aspnid1	GH 172	1
Aspnid1	GH 18	20
Aspnid1	GH 2	10
Aspnid1	GH 20	2
Aspnid1	GH 24	1
Aspnid1	GH 25	3
Aspnid1	GH 26	3
Aspnid1	GH 27	4
Aspnid1	GH 28	11
Aspnid1	GH 3	21
Aspnid1	GH 31	10
Aspnid1	GH 32	2
Aspnid1	GH 33	1
Aspnid1	GH 35	4
Aspnid1	GH 36	4
Aspnid1	GH 37	1
Aspnid1	GH 38	1
Aspnid1	GH 39	2
Aspnid1	GH 43	19
Aspnid1	GH 45	1
Aspnid1	GH 47	7
Aspnid1	GH 5	16
Aspnid1	GH 51	2
Aspnid1	GH 53	1
Aspnid1	GH 54	1
Aspnid1	GH 55	6
Aspnid1	GH 6	2
Aspnid1	GH 62	2
Aspnid1	GH 63	1
Aspnid1	GH 65	1
Aspnid1	GH 67	1
Aspnid1	GH 7	3
Aspnid1	GH 71	5
Aspnid1	GH 72	5
Aspnid1	GH 74	2
Aspnid1	GH 75	2
Aspnid1	GH 76	6
Aspnid1	GH 78	9
Aspnid1	GH 79	1
Aspnid1	GH 81	1
Aspnid1	GH 88	3
Aspnid1	GH 92	5
Aspnid1	GH 93	2
Aspnid1	GH 95	3
Aspnid1	GT 1	10
Aspnid1	GT 15	3
Aspnid1	GT 2	12
Aspnid1	GT 2 	2
Aspnid1	GT 20	4
Aspnid1	GT 21	1
Aspnid1	GT 22	4
Aspnid1	GT 24	1
Aspnid1	GT 25	4
Aspnid1	GT 3	1
Aspnid1	GT 31	8
Aspnid1	GT 32	7
Aspnid1	GT 33	1
Aspnid1	GT 34	3
Aspnid1	GT 35	1
Aspnid1	GT 39	3
Aspnid1	GT 4	7
Aspnid1	GT 41	1
Aspnid1	GT 48	1
Aspnid1	GT 5	2
Aspnid1	GT 50	1
Aspnid1	GT 57	2
Aspnid1	GT 58	1
Aspnid1	GT 59	1
Aspnid1	GT 62	3
Aspnid1	GT 66	1
Aspnid1	GT 69	3
Aspnid1	GT 71	2
Aspnid1	GT 8	5
Aspnid1	GT 90	2
Aspnid1	PL 1	10
Aspnid1	PL 11	1
Aspnid1	PL 20	2
Aspnid1	PL 26	1
Aspnid1	PL 27	1
Aspnid1	PL 3	5
Aspnid1	PL 4	4
Aspnid1	PL 9	1
Botci1	AA 1	14
Botci1	AA 11	2
Botci1	AA 13	1
Botci1	AA 16	1
Botci1	AA 2	2
Botci1	AA 3	32
Botci1	AA 4	1
Botci1	AA 5	6
Botci1	AA 6	1
Botci1	AA 7	2
Botci1	AA 8	3
Botci1	AA 9	10
Botci1	CBM 1	18
Botci1	CBM 13	1
Botci1	CBM 18	17
Botci1	CBM 20	3
Botci1	CBM 21	1
Botci1	CBM 24	15
Botci1	CBM 32	3
Botci1	CBM 35	3
Botci1	CBM 42	1
Botci1	CBM 43	1
Botci1	CBM 48	3
Botci1	CBM 50	2
Botci1	CBM 87	1
Botci1	CBM 91	2
Botci1	CE 1	1
Botci1	CE 12	3
Botci1	CE 16	8
Botci1	CE 18	1
Botci1	CE 3	1
Botci1	CE 4	4
Botci1	CE 5	11
Botci1	CE 8	5
Botci1	CE 9	2
Botci1	Expansins	5
Botci1	GH 1	5
Botci1	GH 10	2
Botci1	GH 105	2
Botci1	GH 106	3
Botci1	GH 11	2
Botci1	GH 114	1
Botci1	GH 115	1
Botci1	GH 12	4
Botci1	GH 125	5
Botci1	GH 127	1
Botci1	GH 128	4
Botci1	GH 13	10
Botci1	GH 131	2
Botci1	GH 132	2
Botci1	GH 133	1
Botci1	GH 135	3
Botci1	GH 15	4
Botci1	GH 152	1
Botci1	GH 154	1
Botci1	GH 16	21
Botci1	GH 17	5
Botci1	GH 18	10
Botci1	GH 2	2
Botci1	GH 20	1
Botci1	GH 25	1
Botci1	GH 26	2
Botci1	GH 27	4
Botci1	GH 28	19
Botci1	GH 3	16
Botci1	GH 31	5
Botci1	GH 32	2
Botci1	GH 35	4
Botci1	GH 36	2
Botci1	GH 37	1
Botci1	GH 38	1
Botci1	GH 39	1
Botci1	GH 43	6
Botci1	GH 45	2
Botci1	GH 47	9
Botci1	GH 5	16
Botci1	GH 51	3
Botci1	GH 53	2
Botci1	GH 54	1
Botci1	GH 55	4
Botci1	GH 6	1
Botci1	GH 62	1
Botci1	GH 63	1
Botci1	GH 64	2
Botci1	GH 65	3
Botci1	GH 7	3
Botci1	GH 71	9
Botci1	GH 72	6
Botci1	GH 76	10
Botci1	GH 78	7
Botci1	GH 79	2
Botci1	GH 81	2
Botci1	GH 88	1
Botci1	GH 89	1
Botci1	GH 92	5
Botci1	GH 93	1
Botci1	GH 95	2
Botci1	GT 1	14
Botci1	GT 15	3
Botci1	GT 17	2
Botci1	GT 2	18
Botci1	GT 20	3
Botci1	GT 21	1
Botci1	GT 22	5
Botci1	GT 24	1
Botci1	GT 25	2
Botci1	GT 3	1
Botci1	GT 31	7
Botci1	GT 32	7
Botci1	GT 33	1
Botci1	GT 34	2
Botci1	GT 35	1
Botci1	GT 39	3
Botci1	GT 4	6
Botci1	GT 41	1
Botci1	GT 48	4
Botci1	GT 5	1
Botci1	GT 50	2
Botci1	GT 57	1
Botci1	GT 58	1
Botci1	GT 59	1
Botci1	GT 62	3
Botci1	GT 66	1
Botci1	GT 69	4
Botci1	GT 71	5
Botci1	GT 76	1
Botci1	GT 8	7
Botci1	GT 90	3
Botci1	PL 1	7
Botci1	PL 3	2
Botci1	PL 42	1
Botci1	PL 7	1
Clapu1	AA 1	7
Clapu1	AA 11	4
Clapu1	AA 12	1
Clapu1	AA 2	1
Clapu1	AA 3	5
Clapu1	AA 5	2
Clapu1	AA 7	1
Clapu1	AA 9 	1
Clapu1	CBM 1	1
Clapu1	CBM 1 	3
Clapu1	CBM 18 	7
Clapu1	CBM 20 	1
Clapu1	CBM 21	1
Clapu1	CBM 32	1
Clapu1	CBM 35 	1
Clapu1	CBM 42 	1
Clapu1	CBM 43 	2
Clapu1	CBM 48	2
Clapu1	CBM 48 	1
Clapu1	CBM 50	3
Clapu1	CBM 50 	2
Clapu1	CBM 63 	1
Clapu1	CBM 66 	1
Clapu1	CBM 91 	1
Clapu1	CE 16	1
Clapu1	CE 4	3
Clapu1	CE 5	4
Clapu1	CE 8	1
Clapu1	CE 9	1
Clapu1	Expansins	3
Clapu1	GH 10	1
Clapu1	GH 105	1
Clapu1	GH 11	1
Clapu1	GH 115	1
Clapu1	GH 12	2
Clapu1	GH 125	3
Clapu1	GH 128	2
Clapu1	GH 13	5
Clapu1	GH 131	1
Clapu1	GH 132	2
Clapu1	GH 133 	1
Clapu1	GH 135	1
Clapu1	GH 15	2
Clapu1	GH 152	1
Clapu1	GH 16	15
Clapu1	GH 17	5
Clapu1	GH 18	9
Clapu1	GH 2	3
Clapu1	GH 20	1
Clapu1	GH 27	1
Clapu1	GH 28	5
Clapu1	GH 3	7
Clapu1	GH 30	2
Clapu1	GH 31	2
Clapu1	GH 32	7
Clapu1	GH 35	1
Clapu1	GH 36	1
Clapu1	GH 37	3
Clapu1	GH 38	1
Clapu1	GH 43	4
Clapu1	GH 47	9
Clapu1	GH 5	4
Clapu1	GH 51	1
Clapu1	GH 54	1
Clapu1	GH 55	2
Clapu1	GH 6	1
Clapu1	GH 62	1
Clapu1	GH 63	1
Clapu1	GH 64	2
Clapu1	GH 7	1
Clapu1	GH 72	5
Clapu1	GH 75	1
Clapu1	GH 76	8
Clapu1	GH 81	1
Clapu1	GH 89	1
Clapu1	GH 92	3
Clapu1	GH 93	1
Clapu1	GT 1	6
Clapu1	GT 15	3
Clapu1	GT 2	12
Clapu1	GT 2 	2
Clapu1	GT 20	4
Clapu1	GT 21	1
Clapu1	GT 22	4
Clapu1	GT 24	1
Clapu1	GT 25	2
Clapu1	GT 3	1
Clapu1	GT 31	8
Clapu1	GT 32	7
Clapu1	GT 33	1
Clapu1	GT 34	3
Clapu1	GT 35	1
Clapu1	GT 39	3
Clapu1	GT 4	4
Clapu1	GT 41	1
Clapu1	GT 48	1
Clapu1	GT 50	1
Clapu1	GT 57	2
Clapu1	GT 58	1
Clapu1	GT 59	1
Clapu1	GT 62	3
Clapu1	GT 64	1
Clapu1	GT 66	1
Clapu1	GT 69	1
Clapu1	GT 76	1
Clapu1	GT 8	5
Clapu1	GT 90	5
Colch1	AA 1	14
Colch1	AA 11	4
Colch1	AA 12	3
Colch1	AA 13 	1
Colch1	AA 16	3
Colch1	AA 2	7
Colch1	AA 3	29
Colch1	AA 4	3
Colch1	AA 5	4
Colch1	AA 6	1
Colch1	AA 7	4
Colch1	AA 8	4
Colch1	AA 8 	1
Colch1	AA 9	19
Colch1	AA 9 	7
Colch1	CBM 1	12
Colch1	CBM 1 	14
Colch1	CBM 18	2
Colch1	CBM 18 	25
Colch1	CBM 20	1
Colch1	CBM 20 	2
Colch1	CBM 21	1
Colch1	CBM 24 	9
Colch1	CBM 35 	5
Colch1	CBM 43 	1
Colch1	CBM 48	2
Colch1	CBM 48 	1
Colch1	CBM 50	13
Colch1	CBM 50 	17
Colch1	CBM 63 	2
Colch1	CBM 91 	10
Colch1	CE 1	5
Colch1	CE 12	5
Colch1	CE 15	1
Colch1	CE 16	4
Colch1	CE 4	11
Colch1	CE 5	13
Colch1	CE 8	6
Colch1	CE 9	1
Colch1	Expansins	5
Colch1	GH 1	3
Colch1	GH 10	8
Colch1	GH 105	7
Colch1	GH 106	1
Colch1	GH 11	3
Colch1	GH 115	3
Colch1	GH 12	7
Colch1	GH 125	3
Colch1	GH 127	1
Colch1	GH 128	3
Colch1	GH 13	13
Colch1	GH 131	8
Colch1	GH 132	2
Colch1	GH 133 	1
Colch1	GH 15	3
Colch1	GH 152	1
Colch1	GH 154	3
Colch1	GH 16	25
Colch1	GH 17	8
Colch1	GH 18	19
Colch1	GH 2	6
Colch1	GH 20	1
Colch1	GH 26	1
Colch1	GH 27	4
Colch1	GH 28	17
Colch1	GH 29	1
Colch1	GH 3	21
Colch1	GH 30	3
Colch1	GH 31	7
Colch1	GH 35	4
Colch1	GH 36	2
Colch1	GH 37	1
Colch1	GH 38	2
Colch1	GH 43	22
Colch1	GH 43 	1
Colch1	GH 45	1
Colch1	GH 47	11
Colch1	GH 5	16
Colch1	GH 51	3
Colch1	GH 53	2
Colch1	GH 55	2
Colch1	GH 6	3
Colch1	GH 62	1
Colch1	GH 63	1
Colch1	GH 64	1
Colch1	GH 67	1
Colch1	GH 7	5
Colch1	GH 71	7
Colch1	GH 72	4
Colch1	GH 74	2
Colch1	GH 75	1
Colch1	GH 76	8
Colch1	GH 78	7
Colch1	GH 79	3
Colch1	GH 81	3
Colch1	GH 88	2
Colch1	GH 92	5
Colch1	GH 93	2
Colch1	GH 95	2
Colch1	GT 1	18
Colch1	GT 15	4
Colch1	GT 17	3
Colch1	GT 2	17
Colch1	GT 2 	2
Colch1	GT 20	3
Colch1	GT 21	1
Colch1	GT 22	4
Colch1	GT 24	1
Colch1	GT 25	2
Colch1	GT 3	1
Colch1	GT 31	5
Colch1	GT 32	4
Colch1	GT 33	1
Colch1	GT 34	2
Colch1	GT 35	1
Colch1	GT 39	3
Colch1	GT 4	4
Colch1	GT 41	1
Colch1	GT 48	1
Colch1	GT 5	2
Colch1	GT 50	1
Colch1	GT 57	2
Colch1	GT 58	1
Colch1	GT 59	1
Colch1	GT 62	3
Colch1	GT 66	1
Colch1	GT 69	5
Colch1	GT 71	2
Colch1	GT 76	1
Colch1	GT 8	6
Colch1	GT 90	5
Colch1	PL 1	19
Colch1	PL 26	1
Colch1	PL 27	1
Colch1	PL 3	12
Colch1	PL 4	8
Colch1	PL 42	1
Colch1	PL 9	4
Colfi1	AA 1	19
Colfi1	AA 11	5
Colfi1	AA 12	4
Colfi1	AA 13	1
Colfi1	AA 14	1
Colfi1	AA 16	3
Colfi1	AA 2	6
Colfi1	AA 3	43
Colfi1	AA 4	4
Colfi1	AA 5	3
Colfi1	AA 6	1
Colfi1	AA 7	4
Colfi1	AA 8	5
Colfi1	AA 9	27
Colfi1	CBM 1	23
Colfi1	CBM 18	26
Colfi1	CBM 20	3
Colfi1	CBM 21	1
Colfi1	CBM 24	9
Colfi1	CBM 35	6
Colfi1	CBM 42	1
Colfi1	CBM 43	1
Colfi1	CBM 48	3
Colfi1	CBM 50	28
Colfi1	CBM 6	3
Colfi1	CBM 63 	2
Colfi1	CBM 66	1
Colfi1	CBM 67	1
Colfi1	CBM 91	20
Colfi1	CE 1	5
Colfi1	CE 12	6
Colfi1	CE 15	1
Colfi1	CE 16	5
Colfi1	CE 3	2
Colfi1	CE 4	11
Colfi1	CE 5	18
Colfi1	CE 8	5
Colfi1	CE 9	1
Colfi1	Expansins	6
Colfi1	GH 1	4
Colfi1	GH 10	6
Colfi1	GH 105	5
Colfi1	GH 106	1
Colfi1	GH 11	4
Colfi1	GH 114	1
Colfi1	GH 115	3
Colfi1	GH 12	7
Colfi1	GH 125	3
Colfi1	GH 127	2
Colfi1	GH 128	5
Colfi1	GH 13	14
Colfi1	GH 131	8
Colfi1	GH 132	2
Colfi1	GH 133	1
Colfi1	GH 135	1
Colfi1	GH 142	1
Colfi1	GH 146	1
Colfi1	GH 15	3
Colfi1	GH 152	1
Colfi1	GH 154	3
Colfi1	GH 16	22
Colfi1	GH 17	7
Colfi1	GH 172	1
Colfi1	GH 18	17
Colfi1	GH 2	7
Colfi1	GH 20	3
Colfi1	GH 26	1
Colfi1	GH 27	5
Colfi1	GH 28	16
Colfi1	GH 29	2
Colfi1	GH 3	28
Colfi1	GH 30	2
Colfi1	GH 31	8
Colfi1	GH 32	3
Colfi1	GH 33	1
Colfi1	GH 35	8
Colfi1	GH 36	3
Colfi1	GH 37	2
Colfi1	GH 38	2
Colfi1	GH 39	3
Colfi1	GH 43	43
Colfi1	GH 45	2
Colfi1	GH 47	11
Colfi1	GH 5	22
Colfi1	GH 51	4
Colfi1	GH 53	3
Colfi1	GH 54	1
Colfi1	GH 55	5
Colfi1	GH 6	4
Colfi1	GH 62	1
Colfi1	GH 63	2
Colfi1	GH 64	1
Colfi1	GH 67	1
Colfi1	GH 7	7
Colfi1	GH 71	7
Colfi1	GH 72	4
Colfi1	GH 74	2
Colfi1	GH 75	2
Colfi1	GH 76	9
Colfi1	GH 78	15
Colfi1	GH 79	4
Colfi1	GH 81	2
Colfi1	GH 88	3
Colfi1	GH 92	6
Colfi1	GH 93	4
Colfi1	GH 95	1
Colfi1	GT 1	17
Colfi1	GT 15	5
Colfi1	GT 17	2
Colfi1	GT 2	19
Colfi1	GT 20	3
Colfi1	GT 21	1
Colfi1	GT 22	4
Colfi1	GT 24	1
Colfi1	GT 25	1
Colfi1	GT 3	1
Colfi1	GT 31	5
Colfi1	GT 32	4
Colfi1	GT 33	1
Colfi1	GT 34	3
Colfi1	GT 35	1
Colfi1	GT 39	3
Colfi1	GT 4	5
Colfi1	GT 41	1
Colfi1	GT 48	1
Colfi1	GT 5	2
Colfi1	GT 50	1
Colfi1	GT 55	1
Colfi1	GT 57	2
Colfi1	GT 58	1
Colfi1	GT 59	1
Colfi1	GT 61	1
Colfi1	GT 62	3
Colfi1	GT 66	1
Colfi1	GT 69	4
Colfi1	GT 71	3
Colfi1	GT 76	1
Colfi1	GT 8	6
Colfi1	GT 90	6
Colfi1	PL 1	15
Colfi1	PL 11	1
Colfi1	PL 20	1
Colfi1	PL 26	2
Colfi1	PL 27	2
Colfi1	PL 3	12
Colfi1	PL 4	6
Colfi1	PL 42	2
Colfi1	PL 9	2
Colgr1	AA 1	18
Colgr1	AA 11	3
Colgr1	AA 12	3
Colgr1	AA 13 	1
Colgr1	AA 2	7
Colgr1	AA 3	32
Colgr1	AA 4	2
Colgr1	AA 5	4
Colgr1	AA 6	1
Colgr1	AA 7	5
Colgr1	AA 8	4
Colgr1	AA 8 	1
Colgr1	AA 9	20
Colgr1	AA 9 	8
Colgr1	CBM 1	9
Colgr1	CBM 1 	12
Colgr1	CBM 18	1
Colgr1	CBM 18 	29
Colgr1	CBM 20	1
Colgr1	CBM 20 	2
