value1	FileName	value	Species	f. sp.	race	var	Strain	Other_Strain	Kingdom	Domain	Phylum	Subdivision	Class	Subclass	Order	Family	Genus	Database	Genome	JGI Acronims	Host	X1	typo	Host2	lifestyle	Publication
Colletotrichum_fructicola_Nara-gc5	Colletotrichum_fructicola_Nara-gc5_protein_longest	Colletotrichum fructicola Nara gc5	Colletotrichum fructicola				Nara gc5		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales	Glomerellaceae	Colletotrichum	Genbank	GCA_000319635.2		Fragaria x ananassa			Plant	Endophytic	"Gan P, Ikeda K, Irieda H, Narusaka M, O'Connell RJ, Narusaka Y, et al. Comparative genomic and transcriptomic analyses reveal the Hemibiotrophic stage shift of Colletotrichum fungi. New Phytol. 2013; 197: 1236±1249. https://doi.org/10.1111/nph.12085"
Fusarium_oxysporum_Fo47	Fusarium_oxysporum_Fo47_GeneCatalog_proteins_20201023.aa	Fusarium_oxysporum_Fo47	Fusarium oxysporum				Fo47	NRRL 54002	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	FusoxFo47_2	FusoxFo47_2	Non-Pathogenic			Plant	Endophytic	"Wang B et al., Chromosome-Scale Genome Assembly of Fusarium oxysporum Strain Fo47, a Fungal Endophyte and Biocontrol Agent., Mol Plant Microbe Interact, 2020 Sep;33(9):1108-1111"
Fusarium_proliferatum_ET1	Fusarium_proliferatum_ET1_GeneCatalog_proteins_20210311.aa	Fusarium proliferatum ET1	Fusarium proliferatum				ET1		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fuspro1	Fuspro1				Plant	Endophytic	"Niehaus, E. M., M√ºnsterk√∂tter, M., Proctor, R. H., Brown, D. W., Sharon, A., Idan, Y., Oren-Young, L., Sieber, C. M., Nov√°k, O., Pƒõnƒç√≠k, A., Tarkowsk√°, D., Hromadov√°, K., Freeman, S., Maymon, M., Elazar, M., Youssef, S. A., El-Shabrawy, E. S., Shalaby, A. B., Houterman, P., Brock, N. L., Ä¶ Tudzynski, B. (2016). Comparative ""Omics"" of the Fusarium fujikuroi Species Complex Highlights Differences in Genetic Potential and Metabolite Synthesis.†Genome biology and evolution,†8(11), 3574Äì3599. https://doi.org/10.1093/gbe/evw259"
Serendipita_indica_DSM11827	Serendipita_indica_DSM1827_protein_longest	Serendipita indica DSM 11827	Serendipita indica				DSM 11827		Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes		Sebacinales	Serendipitaceae	Serendipita	Genbank	GCA_910890315.1					Plant	Endophytic	"≈†eƒçiƒá, E., Zanini, S., Wibberg, D., Jelonek, L., Busche, T., Kalinowski, J., Nasfi, S., Thielmann, J., Imani, J., Steinbrenner, J., & Kogel, K. H. (2021). A novel plant-fungal association reveals fundamental sRNA and gene expression reprogramming at the onset of symbiosis. BMC biology, 19(1), 171. https://doi.org/10.1186/s12915-021-01104-2"
Serendipita_vermifera_MAFF305830	Serendipita_vermifera_MAFF305830_protein_longest	Serendipita vermifera MAFF 305830	Serendipita vermifera				MAFF 305830		Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes		Sebacinales	Serendipitaceae	Serendipita	Genbank	GCA_000827415.1		orchid	mycorrhiza		Plant	Endophytic	"Kohler, A., Kuo, A., Nagy, L. G., Morin, E., Barry, K. W., Buscot, F., Canb√§ck, B., Choi, C., Cichocki, N., Clum, A., Colpaert, J., Copeland, A., Costa, M. D., Dor√©, J., Floudas, D., Gay, G., Girlanda, M., Henrissat, B., Herrmann, S., Hess, J., Ä¶ Martin, F. (2015). Convergent losses of decay mechanisms and rapid turnover of symbiosis genes in mycorrhizal mutualists.†Nature genetics,†47(4), 410Äì415. https://doi.org/10.1038/ng.3223"
Metarhizium_acridum_CQMa_102	Metarhizium_acridum_CQMa102_GeneCatalog_proteins_20131003.aa	Metarhizium acridum CQMA 102	Metarhizium acridum				CQMa 102		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Clavicipitaceae	Metarhizium	JGI	Metac1	Metac1	grasshoppers			Insect	EntomoPathogenic	"Gao Q, Jin K, Ying SH, Zhang Y, Xiao G, Shang Y, Duan Z, Hu X, Xie XQ, Zhou G, Peng G, Luo Z, Huang W, Wang B, Fang W, Wang S, Zhong Y, Ma LJ, St Leger RJ, Zhao GP, Pei Y, Feng MG, Xia Y, Wang C. Genome sequencing and comparative transcriptomics of the model entomoPathogenic fungi Metarhizium anisopliae and M. acridum. PLoS Genet. 2011 Jan 6;7(1):e1001264. doi: 10.1371/journal.pgen.1001264"
Metarhizium_album_ARSEF-1941	Metarhizium_album_ARSEF-1941_protein_longest	Metarhizium album ARSEF 1941	Metarhizium album				ARSEF 1941		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Clavicipitaceae	Metarhizium	NCBI	GCF_000804445.1		hemiptera			Insect	EntomoPathogenic	"Hu X, Xiao G, Zheng P, Shang Y, Su Y, Zhang X, Liu X, Zhan S, St Leger RJ, Wang C. Trajectory and genomic determinants of fungal-pathogen speciation and host adaptation. Proc Natl Acad Sci U S A. 2014 Nov 25;111(47):16796-801. doi: 10.1073/pnas.1412662111. Epub 2014 Nov 3. PMID: 25368161; PMCID: PMC4250126."
Metarhizium_anisopliae_ARSEF-549	Metarhizium_anisopliae_ARSEF-549_GeneCatalog_proteins_20210224.aa	Metarhizium anisopliae ARSEF 549	Metarhizium anisopliae				ARSEF 549		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Clavicipitaceae	Metarhizium	JGI	Metani1	Metani1	diptera/coleoptera			Insect	EntomoPathogenic	"Hu X, Xiao G, Zheng P, Shang Y, Su Y, Zhang X, Liu X, Zhan S, St Leger RJ, Wang C. Trajectory and genomic determinants of fungal-pathogen speciation and host adaptation. Proc Natl Acad Sci U S A. 2014 Nov 25;111(47):16796-801. doi: 10.1073/pnas.1412662111. Epub 2014 Nov 3. PMID: 25368161; PMCID: PMC4250126."
Metarhizium_brunneum_ARSEF-3297	Metarhizium_brunneum_ARSEF-3297_GeneCatalog_proteins_20210313.aa	Metarhizium brunneum ARSEF 3297	Metarhizium brunneum				ARSEF 3297		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Clavicipitaceae	Metarhizium	JGI	Metbr1	Metbr1	diptera/coleoptera/lepidoptera			Insect	EntomoPathogenic	"Hu X, Xiao G, Zheng P, Shang Y, Su Y, Zhang X, Liu X, Zhan S, St Leger RJ, Wang C. Trajectory and genomic determinants of fungal-pathogen speciation and host adaptation. Proc Natl Acad Sci U S A. 2014 Nov 25;111(47):16796-801. doi: 10.1073/pnas.1412662111. Epub 2014 Nov 3. PMID: 25368161; PMCID: PMC4250126."
Metarhizium_guizhouense_ARSEF-977	Metarhizium_guizhouense_ARSEF-977_protein_longest	Metarhizium guizhouense ARSEF977	Metarhizium guizhouense				ARSEF 977		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Clavicipitaceae	Metarhizium	Genbank	GCA_000814955.1		lepidoptera/coleoptera			Insect	EntomoPathogenic	"Hu X, Xiao G, Zheng P, Shang Y, Su Y, Zhang X, Liu X, Zhan S, St Leger RJ, Wang C. Trajectory and genomic determinants of fungal-pathogen speciation and host adaptation. Proc Natl Acad Sci U S A. 2014 Nov 25;111(47):16796-801. doi: 10.1073/pnas.1412662111. Epub 2014 Nov 3. PMID: 25368161; PMCID: PMC4250126."
Metarhizium_rileyi_RCEF-4871	Metarhizium_rileyi_RCEF-4871_protein_longest	Metarhizium rileyi RCEF 4871	Metarhizium rileyi				RCEF 4871		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Clavicipitaceae	Metarhizium	Genbank	GCA_001636745.1		Scarabaeidae			Insect	EntomoPathogenic	"Shang Y, Xiao G, Zheng P, Cen K, Zhan S, Wang C. Divergent and Convergent Evolution of Fungal Pathogenicity. Genome Biol Evol. 2016 May 12;8(5):1374-87. doi: 10.1093/gbe/evw082. PMID: 27071652; PMCID: PMC4898799."
Metarhizium_robertsii_ARSEF-23	Metarhizium_robertsii_ARSEF-23_GeneCatalog_proteins_20160603.aa	Metarhizium robertsii ARSEF 23	Metarhizium robertsii				ARSEF 23		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Clavicipitaceae	Metarhizium	JGI	Metro1	Metro1	diptera			Insect	EntomoPathogenic	"Hu X, Xiao G, Zheng P, Shang Y, Su Y, Zhang X, Liu X, Zhan S, St Leger RJ, Wang C. Trajectory and genomic determinants of fungal-pathogen speciation and host adaptation. Proc Natl Acad Sci U S A. 2014 Nov 25;111(47):16796-801. doi: 10.1073/pnas.1412662111. Epub 2014 Nov 3. PMID: 25368161; PMCID: PMC4250126."
Zymoseptoria_tritici_IPO323	Zymoseptoria_tritici_IPO323_protein_longest	Zymoseptoria tritici IPO 323	Zymoseptoria tritici				IPO 323		Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Dothideomycetiddae	Mycosphaerellales	Mycosphaerellaceae	Zymoseptoria	Refseq	GCF_000219625.1		wheat			Plant	Hemibiotrophic	"Goodwin, S. B., M'barek, S. B., Dhillon, B., Wittenberg, A. H., Crane, C. F., Hane, J. K., Foster, A. J., Van der Lee, T. A., Grimwood, J., Aerts, A., Antoniw, J., Bailey, A., Bluhm, B., Bowler, J., Bristow, J., van der Burgt, A., Canto-Canch√©, B., Churchill, A. C., Conde-Ferr√†ez, L., Cools, H. J., Ä¶ Kema, G. H. (2011). Finished genome of the fungal wheat pathogen Mycosphaerella graminicola reveals dispensome structure, chromosome plasticity, and stealth pathogenesis.†PLoS genetics,†7(6), e1002070. https://doi.org/10.1371/journal.pgen.1002070"
Colletotrichum_chlorophyti_NTL11	Colletotrichum_chlorophyti_NTL11_GeneCatalog_proteins_20180729.aa	Colletotrichum†chlorophyti NTL11	Colletotrichum chlorophyti				NTL11		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales	Glomerellaceae	Colletotrichum	JGI	Colch1	Colch1	Solanum lycopersicon			Plant	Hemibiotrophic	"Gan, P., Narusaka, M., Tsushima, A., Narusaka, Y., Takano, Y., & Shirasu, K. (2017). Draft Genome Assembly of†Colletotrichum chlorophyti, a Pathogen of Herbaceous Plants.†Genome announcements,†5(10), e01733-16. https://doi.org/10.1128/genomeA.01733-16"
Colletotrichum_graminicola_M1-001	Colletotrichum_graminicola_M1-001_GeneCatalog_proteins_20130906.aa	Colletotrichum graminicola M1.001	Colletotrichum graminicola				M1.001		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales	Glomerellaceae	Colletotrichum	JGI	Colgr1	Colgr1	Zea mays			Plant	Hemibiotrophic	"O'Connell, R., Thon, M., Hacquard, S.†et al.†Lifestyle transitions in plant Pathogenic†Colletotrichum†fungi deciphered by genome and transcriptome analyses.†Nat Genet†44, 1060Äì1065 (2012). https://doi.org/10.1038/ng.2372"
Colletotrichum_higginsianum_IMI349063	Colletotrichum_higginsianum_IMI349063_GeneCatalog_proteins_20170214.aa	Colletotrichum higginsianum IMI 349063	Colletotrichum higginsianum				IMI 349063		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales	Glomerellaceae	Colletotrichum	JGI	Colhig2	Colhig2	Brassica rapa			Plant	Hemibiotrophic	"Zampounis A, Pigne√Ç S, Dallery J-F, Wittenberg AHJ, Zhou S, Schwartz DC, et al. Genome Sequence and Annotation of Colletotrichum higginsianum, a Causal Agent of Crucifer Anthracnose Disease. Genome Announc. 2016; 4: e00821-16. https://doi.org/10.1128/genomeA.00821-16"
Colletotrichum_incanum_MAFF238712	Colletotrichum_incanum_MAFF238712_GeneCatalog_proteins_20180729.aa	Colletotrichum incanum MAFF 238704	Colletotrichum incanum				MAFF 238704		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales	Glomerellaceae	Colletotrichum	JGI	Colin1	Colin1	Raphanus sativus			Plant	Hemibiotrophic	"Gan P, Narusaka M, Kumakura N, Tsushima A, Takano Y, Narusaka Y, Shirasu K. Genus-Wide Comparative Genome Analyses of Colletotrichum Species Reveal Specific Gene Family Losses and Gains during Adaptation to Specific Infection Lifestyles. Genome Biol Evol. 2016 May 22;8(5):1467-81. doi: 10.1093/gbe/evw089"
Colletotrichum_musicola_LFN0074	Colletotrichum_musicola_LFN0074_protein_longest	Colletotrichum†musicola LFN0074 (IMI 507128)	Colletotrichum musicola				IMI 507128	LFN0074	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales	Glomerellaceae	Colletotrichum	Genbank	GCA_014235935.1		Glycine max			Plant	Hemibiotrophic	"Rogerio, F. et al. Genome Sequence Resources of Colletotrichum truncatum, C. plurivorum, C. musicola, and C. sojae: Four Species Pathogenic to Soybean (Glycine max). Phytopathology 110, 1497-1499, doi:10.1094/PHYTO-03-20-0102-A (2020)."
Colletotrichum_nymphae_Sa-01	Colletotrichum_nymphae_Sa-01_GeneCatalog_proteins_20160329.aa	Colletotrichum nymphae Sa-01	Colletotrichum nymphaeae				Sa-01		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales	Glomerellaceae	Colletotrichum	JGI	Colny1	Colny1	plant/insects			Plant	Hemibiotrophic	"Baroncelli R, Amby DB, Zapparata A, Sarrocco S, Vannacci G, Le Floch G, et al. Gene family expansions and contractions are associated with host range in plant pathogens of the genus Colletotrichum. BMC Genomics. 2016; 17: 555. https://doi.org/10.1186/s12864-016-2917-6 PMID: 27496087"
Colletotrichum_orbiculare_MAFF240422	Colletotrichum_orbiculare_MAFF240422_GeneCatalog_proteins_20180806.aa	Gloeosporum orbiculare (Colletotrichum orbiculare) MAFF 240422	Colletotrichum orbiculare				MAFF 240422		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales	Glomerellaceae	Colletotrichum	JGI	Colorb1	Colorb1	Cucurbitaceae 			Plant	Hemibiotrophic	"Gan P, Ikeda K, Irieda H, Narusaka M, O'Connell RJ, Narusaka Y, et al. Comparative genomic and transcriptomic analyses reveal the Hemibiotrophic stage shift of Colletotrichum fungi. New Phytol. 2013; 197: 1236±1249. https://doi.org/10.1111/nph.12085"
Colletotrichum_plurivorum_LFN00145	Colletotrichum_plurivorum_LFN00145_protein_longest	Colletotrichum plurivorum LFN00145 (IMI 507127)	Colletotrichum plurivorum				IMI 507127	LFN00145	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales	Glomerellaceae	Colletotrichum	Genbank	GCA_014235945.1		Glycine max			Plant	Hemibiotrophic	"Rogerio, F. et al. Genome Sequence Resources of Colletotrichum truncatum, C. plurivorum, C. musicola, and C. sojae: Four Species Pathogenic to Soybean (Glycine max). Phytopathology 110, 1497-1499, doi:10.1094/PHYTO-03-20-0102-A (2020)."
Colletotrichum_salicis_CBS607.94	Colletotrichum_salicis_CBS607-94_GeneCatalog_proteins_20160329.aa	Colletotrichum salicis CBS 607.94	Colletotrichum salicis				CBS 607.94		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales	Glomerellaceae	Colletotrichum	JGI	Colsa1	Colsa1	Salix species			Plant	Hemibiotrophic	"Baroncelli R, Amby DB, Zapparata A, Sarrocco S, Vannacci G, Le Floch G, et al. Gene family expansions and contractions are associated with host range in plant pathogens of the genus Colletotrichum. BMC Genomics. 2016; 17: 555. https://doi.org/10.1186/s12864-016-2917-6 PMID: 27496087"
Colletotrichum_simmondsii_CBS122122	Colletotrichum_simmondsii_CBS122122_GeneCatalog_proteins_20160329.aa	Colletotrichum simmondsii CBS 122122	Colletotrichum simmondsii				CBS 122122		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales	Glomerellaceae	Colletotrichum	JGI	Colsi1	Colsi1	Carica papaya			Plant	Hemibiotrophic	"Baroncelli R, Amby DB, Zapparata A, Sarrocco S, Vannacci G, Le Floch G, et al. Gene family expansions and contractions are associated with host range in plant pathogens of the genus Colletotrichum. BMC Genomics. 2016; 17: 555. https://doi.org/10.1186/s12864-016-2917-6 PMID: 27496087"
Colletotrichum_sojae_LFN0009	Colletotrichum_sojae_LFN0009_protein_longest	Colletotrichum†sojae IMI 507126	Colletotrichum sojae				IMI 507126		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales	Glomerellaceae	Colletotrichum	Genbank	GCA_014235955.1		Glycine max			Plant	Hemibiotrophic	"Rogerio, F. et al. Genome Sequence Resources of Colletotrichum truncatum, C. plurivorum, C. musicola, and C. sojae: Four Species Pathogenic to Soybean (Glycine max). Phytopathology 110, 1497-1499, doi:10.1094/PHYTO-03-20-0102-A (2020)."
Colletotrichum_sublineola_TX430BB	Colletotrichum_sublineola_TX430BB_GeneCatalog_proteins_20210226.aa	Colletotrichum sublineola TX430BB	Colletotrichum sublineola				TX430BB		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales	Glomerellaceae	Colletotrichum	JGI	Colsub1	Colsub1	Sorghum bicolor			Plant	Hemibiotrophic	"Baroncelli R, Sanz-Mart√µ√Çn JM, Rech GE, Sukno S a, Thon MR. Draft Genome Sequence of Colletotrichum sublineola, a Destructive Pathogen of Cultivated Sorghum. Genome Announc. 2014; 2: 10-11."
Colletotrichum_truncatum_CTRU02	Colletotrichum_truncatum_CTRU02_protein_longest	Colletotrichum†truncatum IMI 507125	Colletotrichum truncatum				IMI 507125		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales	Glomerellaceae	Colletotrichum	Refseq	GCF_014235925.1		"Glycine max, Capsicum annuum"			Plant	Hemibiotrophic	"Rogerio, F. et al. Genome Sequence Resources of Colletotrichum truncatum, C. plurivorum, C. musicola, and C. sojae: Four Species Pathogenic to Soybean (Glycine max). Phytopathology 110, 1497-1499, doi:10.1094/PHYTO-03-20-0102-A (2020)."
